vehicle,ramp,hf_lf_le,air_conditioner,place_for_transp_bicycles,voice_announcement_sys,ticket_machine,ticket_sales_by_the_driver,usb_charger
904,0,0,0,0,1,0,0,0
907,0,0,0,0,1,0,0,0
911,1,2,1,1,1,0,0,1
912,1,2,1,1,1,0,0,1
913,1,2,1,1,1,0,0,1
914,1,2,1,1,1,0,0,1
915,1,2,1,1,1,0,0,1
916,1,2,1,1,1,0,0,1
917,1,2,1,1,1,0,0,1
918,1,2,1,1,1,0,0,1
919,1,2,1,1,1,0,0,1
920,1,2,1,1,1,0,0,1
921,1,1,1,1,1,0,0,1
922,1,1,1,1,1,0,0,1
923,1,1,1,1,1,0,0,1
924,1,1,1,1,1,0,0,1
925,1,1,1,1,1,0,0,1
926,1,1,1,1,1,0,0,1
927,1,1,1,1,1,0,0,1
928,1,1,1,1,1,0,0,1
929,1,1,1,1,1,0,0,1
930,1,1,1,1,1,0,0,1
931,1,1,1,1,1,0,0,1
932,1,1,1,1,1,0,0,1
933,1,1,1,1,1,0,0,1
934,1,1,1,1,1,0,0,1
935,1,1,1,1,1,0,0,1
936,1,1,1,1,1,0,0,1
937,1,1,1,1,1,0,0,1
938,1,1,1,1,1,0,0,1
939,1,1,1,1,1,0,0,1
940,1,1,1,1,1,0,0,1
941,1,1,1,1,1,0,0,1
942,1,1,1,1,1,0,0,1
943,1,1,1,1,1,0,0,1
944,1,1,1,1,1,0,0,1
945,1,1,1,1,1,0,0,1
946,1,1,1,1,1,0,0,1
947,1,1,1,1,1,0,0,1
948,1,1,1,1,1,0,0,1
949,1,1,1,1,1,0,0,1
950,1,1,1,1,1,0,0,1
951,1,1,1,1,1,0,0,1
952,1,1,1,1,1,0,0,1
953,1,1,1,1,1,0,0,1
954,1,1,1,1,1,0,0,1
955,1,1,1,1,1,0,0,1
956,1,1,1,1,1,0,0,1
957,1,1,1,1,1,0,0,1
958,1,1,1,1,1,0,0,1
959,1,1,1,1,1,0,0,1
960,1,1,1,1,1,0,0,1
961,1,1,1,1,1,0,0,1
962,1,1,1,1,1,0,0,1
963,1,1,1,1,1,0,0,1
964,1,1,1,1,1,0,0,1
965,1,1,1,1,1,0,0,1
966,1,1,1,1,1,0,0,1
967,1,1,1,1,1,0,0,1
968,1,1,1,1,1,0,0,1
969,1,1,1,1,1,0,0,1
970,1,1,1,1,1,0,0,1
971,0,1,0,1,1,0,0,0
1001,1,1,1,1,1,0,0,1
1002,1,1,1,1,1,0,0,1
1003,1,1,1,1,1,0,0,1
1004,1,1,1,1,1,0,0,1
1005,1,1,1,1,1,0,0,1
1006,1,1,1,1,1,0,0,1
1007,1,1,1,1,1,0,0,1
1008,1,1,1,1,1,0,0,1
1009,1,1,1,1,1,0,0,1
1010,1,1,1,1,1,0,0,1
1011,1,1,1,1,1,0,0,1
1012,1,1,1,1,1,0,0,1
1013,1,1,1,1,1,0,0,1
1014,1,1,1,1,1,0,0,1
1015,1,1,1,1,1,0,0,1
1016,1,1,1,1,1,0,0,1
1017,1,1,1,1,1,0,0,1
1018,1,1,1,1,1,0,0,1
1019,1,1,1,1,1,0,0,1
1020,1,1,1,1,1,0,0,1
1021,1,1,1,1,1,0,0,1
1022,1,1,1,1,1,0,0,1
1023,1,1,1,1,1,0,0,1
1024,1,1,1,1,1,0,0,1
1025,1,1,1,1,1,0,0,1
1026,1,1,1,1,1,0,0,1
1027,1,1,1,1,1,0,0,1
1028,1,1,1,1,1,0,0,1
1029,1,1,1,1,1,0,0,1
1030,1,1,1,1,1,0,0,1
1031,1,1,1,1,1,0,0,1
1111,1,1,1,1,1,0,0,0
1115,1,1,1,1,1,0,0,0
1116,1,1,1,1,1,0,0,0
1117,1,1,1,1,1,0,0,0
1122,1,1,1,1,1,0,0,0
1123,1,1,1,1,1,0,0,0
1124,1,1,1,1,1,0,0,0
1125,1,1,1,1,1,0,0,0
1126,1,1,1,1,1,0,0,0
1127,1,1,1,1,1,0,0,0
1133,1,1,1,1,1,0,0,0
1134,1,1,1,1,1,0,0,0
1135,1,1,1,1,1,0,0,0
1201,1,1,1,1,1,0,0,1
1202,1,1,1,1,1,0,0,1
1203,1,1,1,1,1,0,0,1
1204,1,1,1,1,1,0,0,1
1205,1,1,1,1,1,0,0,1
1206,1,1,1,1,1,0,0,1
1251,1,1,1,1,1,0,0,0
1252,1,1,1,1,1,0,0,0
1253,1,1,1,1,1,0,0,0
1254,1,1,1,1,1,0,0,0
1255,1,1,1,1,1,0,0,0
1256,1,1,1,1,1,0,0,0
1257,1,1,1,1,1,0,0,0
1258,1,1,1,1,1,0,0,0
1259,1,1,1,1,1,0,0,0
1260,1,1,1,1,1,0,0,0
1261,1,1,1,1,1,0,0,0
1262,1,1,1,1,1,0,0,0
1263,1,1,1,1,1,0,0,0
1264,1,1,1,1,1,0,0,0
1265,1,1,1,1,1,0,0,0
1266,1,1,1,1,1,0,0,0
1267,1,1,1,1,1,0,0,0
1268,1,1,1,1,1,0,0,0
1269,1,1,1,1,1,0,0,0
1270,1,1,1,1,1,0,0,0
1271,1,1,1,1,1,0,0,1
1272,1,1,1,1,1,0,0,1
1273,1,1,1,1,1,0,0,1
1274,1,1,1,1,1,0,0,1
1275,1,1,1,1,1,0,0,1
1276,1,1,1,1,1,0,0,1
1277,1,1,1,1,1,0,0,1
1278,1,1,1,1,1,0,0,1
1279,1,1,1,1,1,0,0,1
1280,1,1,1,1,1,0,0,1
1281,1,1,1,1,1,0,0,1
1282,1,1,1,1,1,0,0,1
1283,1,1,1,1,1,0,0,1
1284,1,1,1,1,1,0,0,1
1285,1,1,1,1,1,0,0,1
1286,1,1,1,1,1,0,0,1
1287,1,1,1,1,1,0,0,1
1288,1,1,1,1,1,0,0,1
1289,1,1,1,1,1,0,0,1
1301,1,1,1,1,1,0,0,1
1302,1,1,1,1,1,0,0,1
1303,1,1,1,1,1,0,0,1
1304,1,1,1,1,1,0,0,1
1305,1,1,1,1,1,0,0,1
1306,1,1,1,1,1,0,0,1
1307,1,1,1,1,1,0,0,1
1308,1,1,1,1,1,0,0,1
1309,1,1,1,1,1,0,0,1
1310,1,1,1,1,1,0,0,1
1311,1,1,1,1,1,0,0,1
1312,1,1,1,1,1,0,0,1
1313,1,1,1,1,1,0,0,1
1314,1,1,1,1,1,0,0,1
1315,1,1,1,1,1,0,0,1
1316,1,1,1,1,1,0,0,1
1317,1,1,1,1,1,0,0,1
1318,1,1,1,1,1,0,0,1
1319,1,1,1,1,1,0,0,1
1320,1,1,1,1,1,0,0,1
1321,1,1,1,1,1,0,0,1
1322,1,1,1,1,1,0,0,1
1323,1,1,1,1,1,0,0,1
1324,1,1,1,1,1,0,0,1
1325,1,1,1,1,1,0,0,1 
1401,1,1,1,0,1,0,0,0
1402,1,1,1,0,1,0,0,0
1403,1,1,1,0,1,0,0,0
1404,1,1,1,0,1,0,0,0
1405,1,1,1,0,1,0,0,0
1406,1,1,1,0,1,0,0,0
1407,1,1,1,0,1,0,0,0
1408,1,1,1,0,1,0,0,0
1450,1,1,1,1,1,0,0,0
1451,1,1,1,1,1,0,0,0
1452,1,1,1,1,1,0,0,0
1453,1,1,1,1,1,0,0,0
1454,1,1,1,1,1,0,0,0
1455,1,1,1,1,1,0,0,0
1456,1,1,1,1,1,0,0,0
1457,1,1,1,1,1,0,0,0
1458,1,1,1,1,1,0,0,0
1459,1,1,1,1,1,0,0,0
1460,1,1,1,1,1,0,0,0
1461,1,1,1,1,1,0,0,0
1462,1,1,1,1,1,0,0,0
1465,1,1,1,1,1,0,0,0
1466,1,1,1,1,1,0,0,0
1467,1,1,1,1,1,0,0,0
1468,1,1,1,1,1,0,0,0
1469,1,1,1,1,1,0,0,0
1470,1,1,1,1,1,0,0,0
1471,1,1,1,1,1,0,0,0
1472,1,1,1,1,1,0,0,0
1473,1,1,1,1,1,0,0,0
1474,1,1,1,1,1,0,0,0
1475,1,1,1,1,1,0,0,0
1476,1,1,1,1,1,0,0,0
1477,1,1,1,1,1,0,0,0
1478,1,1,1,1,1,0,0,0
1479,1,1,1,1,1,0,0,0
1480,1,1,1,1,1,0,0,0
1481,1,1,1,1,1,0,0,1
1482,1,1,1,1,1,0,0,1
1483,1,1,1,1,1,0,0,1
1484,1,1,1,1,1,0,0,1
1486,1,1,1,1,1,0,0,1
1487,1,1,1,1,1,0,0,1
1488,1,1,1,1,1,0,0,1
1489,1,1,1,1,1,0,0,1
1490,1,1,1,0,1,0,0,1
1491,1,1,1,0,1,0,0,1
1492,1,1,1,0,1,0,0,1
1493,1,1,1,0,1,0,0,0
1501,1,1,1,1,1,0,0,1
1502,1,1,1,1,1,0,0,1
1503,1,1,1,1,1,0,0,1
1504,1,1,1,1,1,0,0,1
1505,1,1,1,1,1,0,0,1
1506,1,1,1,1,1,0,0,1
1600,1,1,1,1,1,0,1,1
1601,1,1,1,1,1,0,0,1
1602,1,1,1,1,1,0,0,1
1603,1,1,1,1,1,0,0,1
1604,1,1,1,1,1,0,0,1
1605,1,1,1,1,1,0,0,1
1606,1,1,1,1,1,0,0,1
1607,1,1,1,1,1,0,0,1
1608,1,1,1,1,1,0,0,1
1609,1,1,1,1,1,0,0,1
1610,1,1,1,1,1,0,0,1
1611,1,1,1,1,1,0,0,1
1612,1,1,1,1,1,0,0,1
1613,1,1,1,1,1,0,0,1
1614,1,1,1,1,1,0,0,1
1615,1,1,1,1,1,0,0,1
1616,1,1,1,1,1,0,0,1
1617,1,1,1,1,1,0,0,1
1618,1,1,1,1,1,0,0,1
1619,1,1,1,1,1,0,0,1
1620,1,1,1,1,1,0,0,1
1621,1,1,1,1,1,0,0,1
1622,1,1,1,1,1,0,0,1
1623,1,1,1,1,1,0,0,1
1624,1,1,1,1,1,0,0,1
1625,1,1,1,1,1,0,0,1
1626,1,1,1,1,1,0,0,0
1627,1,1,1,1,1,0,0,0
1628,1,1,1,1,1,0,0,0
1629,1,1,1,1,1,0,0,0
1630,1,1,1,1,1,0,0,0
1631,1,1,1,1,1,0,0,0
1632,1,1,1,1,1,0,0,0
1633,1,1,1,1,1,0,0,0
1634,1,1,1,1,1,0,0,0
1635,1,1,1,1,1,0,0,0
1636,1,1,1,1,1,0,0,0
1637,1,1,1,1,1,0,0,0
1638,1,1,1,1,1,0,0,0
1639,1,1,1,1,1,0,0,0
1640,1,1,1,1,1,0,0,0
1641,1,1,1,1,1,0,0,0
1642,1,1,1,1,1,0,0,0
1643,1,1,1,1,1,0,0,0
1644,1,1,1,1,1,0,0,0
1645,1,1,1,1,1,0,0,0
1646,1,1,1,1,1,0,0,0
1647,1,1,1,1,1,0,0,0
1648,1,1,1,1,1,0,0,0
1649,1,1,1,1,1,0,0,0
1650,1,1,1,1,1,0,0,0
1651,1,1,1,1,1,0,0,0
1652,1,1,1,1,1,0,0,0
1653,1,1,1,1,1,0,0,0
1654,1,1,1,1,1,0,0,0
1655,1,1,1,1,1,0,0,0
1656,1,1,1,1,1,0,0,0
1657,1,1,1,1,1,0,0,0
1658,1,1,1,1,1,0,0,0
1659,1,1,1,1,1,0,0,0
1660,1,1,1,1,1,0,0,0
1661,1,1,1,1,1,0,0,0
1662,1,1,1,1,1,0,0,1
1663,1,1,1,1,1,0,0,1
1664,1,1,1,1,1,0,0,1
1665,1,1,1,1,1,0,0,1
1666,1,1,1,1,1,0,0,1
1667,1,1,1,1,1,0,0,1
1668,1,1,1,1,1,0,0,1
1669,1,1,1,1,1,0,0,1
1670,1,1,1,1,1,0,0,1
1671,1,1,1,1,1,0,0,1
1672,1,1,1,1,1,0,0,1
1673,1,1,1,1,1,0,0,1
1674,1,1,1,1,1,0,0,1
1675,1,1,1,1,1,0,0,1
1676,1,1,1,1,1,0,0,1
1680,1,1,1,1,1,0,0,0
1681,1,1,1,1,1,0,0,0
1682,1,1,1,1,1,0,0,0
1683,1,1,1,1,1,0,0,0
1684,1,1,1,1,1,0,0,0
1701,1,1,1,1,1,0,0,1
1702,1,1,1,1,1,0,0,1
1703,1,1,1,1,1,0,0,1
1704,1,1,1,1,1,0,0,1
1705,1,1,1,1,1,0,0,1
1706,1,1,1,1,1,0,0,1
1707,1,1,1,1,1,0,0,1
1708,1,1,1,1,1,0,0,1
1709,1,1,1,1,1,0,0,1
1710,1,1,1,1,1,0,0,1
1711,1,1,1,1,1,0,0,1
1712,1,1,1,1,1,0,0,1
1713,1,1,1,1,1,0,0,1
1714,1,1,1,1,1,0,0,1
1715,1,1,1,1,1,0,0,1
1716,1,1,1,1,1,0,0,1
1717,1,1,1,1,1,0,0,1
1718,1,1,1,1,1,0,0,1
1719,1,1,1,1,1,0,0,1
1720,1,1,1,1,1,0,0,1
1721,1,1,1,1,1,0,0,1
1722,1,1,1,1,1,0,0,1
1723,1,1,1,1,1,0,0,1
1724,1,1,1,1,1,0,0,1
1725,1,1,1,1,1,0,0,1
1726,1,1,1,1,1,0,0,1
1727,1,1,1,1,1,0,0,1
1728,1,1,1,1,1,0,0,1
1729,1,1,1,1,1,0,0,1
1730,1,1,1,1,1,0,0,1
1731,1,1,1,1,1,0,0,1
1732,1,1,1,1,1,0,0,1
1757,1,1,1,0,1,0,0,0
1758,1,1,1,0,1,0,0,0
1759,1,1,1,0,1,0,0,0
1760,1,1,1,0,1,0,0,0
1761,1,1,1,0,1,0,0,0
1762,1,1,1,0,1,0,0,0
1763,1,1,1,0,1,0,0,0
1764,1,1,1,0,1,0,0,0
1765,1,1,1,0,1,0,0,0
1766,1,1,1,0,1,0,0,0
1767,1,1,1,0,1,0,0,0
1768,1,1,1,0,1,0,0,0
1769,1,1,1,0,1,0,0,0
1770,1,1,1,0,1,0,0,0
1771,1,1,1,0,1,0,0,0
1772,1,1,1,0,1,0,0,0
1773,1,1,1,0,1,0,0,0
1774,1,1,1,0,1,0,0,0
1844,1,1,1,1,1,0,0,0
1845,1,1,1,1,1,0,0,0
1846,1,1,1,1,1,0,0,0
1847,1,1,1,1,1,0,0,0
1848,1,1,1,1,1,0,0,0
1849,1,1,1,1,1,0,0,0
1850,1,1,1,1,1,0,0,0
1851,1,1,1,1,1,0,0,0
1852,1,1,1,1,1,0,0,0
1853,1,1,1,1,1,0,0,0
1854,1,1,1,1,1,0,0,0
1855,1,1,1,1,1,0,0,0
1856,1,1,1,1,1,0,0,0
1857,1,1,1,1,1,0,0,0
1858,1,1,1,1,1,0,0,0
1859,1,1,1,1,1,0,0,0
1860,1,1,1,1,1,0,0,0
1861,1,1,1,1,1,0,0,0
1862,1,1,1,1,1,0,0,0
1863,1,1,1,1,1,0,0,0
1864,1,1,1,1,1,0,0,0
1865,1,1,1,1,1,0,0,0
1866,1,1,1,1,1,0,0,0
1867,1,1,1,1,1,0,0,0
1868,1,1,1,1,1,0,0,0
1869,1,1,1,1,1,0,0,0
1870,1,1,1,1,1,0,0,0
1871,1,1,1,1,1,0,0,0
1872,1,1,1,1,1,0,0,0
1873,1,1,1,1,1,0,0,0
1874,1,1,1,1,1,0,0,0
1875,1,1,1,1,1,0,0,0
1876,1,1,1,1,1,0,0,0
1877,1,1,1,1,1,0,0,0
1878,1,1,1,1,1,0,0,0
1879,1,1,1,1,1,0,0,0
1880,1,1,1,1,1,0,0,0
1881,1,1,1,1,1,0,0,0
1882,1,1,1,1,1,0,0,0
1883,1,1,1,1,1,0,0,0
1884,1,1,1,1,1,0,0,0
1885,1,1,1,1,1,0,0,0
1886,1,1,1,1,1,0,0,0
1887,1,1,1,1,1,0,0,0
1888,1,1,1,1,1,0,0,0
1889,1,1,1,1,1,0,0,0
1891,1,1,1,1,1,0,0,0
1892,1,1,1,1,1,0,0,0
1893,1,1,1,1,1,0,0,0
1894,1,1,1,1,1,0,0,0
1895,1,1,1,1,1,0,0,0
1896,1,1,1,1,1,0,0,0
1897,1,1,1,1,1,0,0,0
1890,1,1,1,1,1,0,0,0
1901,1,1,1,1,1,0,0,1
1902,1,1,1,1,1,0,0,1
1903,1,1,1,1,1,0,0,1
1904,1,1,1,1,1,0,0,1
1905,1,1,1,1,1,0,0,1
1906,1,1,1,1,1,0,0,1
1907,1,1,1,1,1,0,0,1
1908,1,1,1,1,1,0,0,1
1909,1,1,1,1,1,0,0,1
1910,1,1,1,1,1,0,0,1
1911,1,1,1,1,1,0,0,1
1912,1,1,1,1,1,0,0,1
1913,1,1,1,1,1,0,0,1
1914,1,1,1,1,1,0,0,1
1915,1,1,1,1,1,0,0,1
1916,1,1,1,1,1,0,0,1
1917,1,1,1,1,1,0,0,1
1918,1,1,1,1,1,0,0,1
1919,1,1,1,1,1,0,0,1
1920,1,1,1,1,1,0,0,1
1921,1,1,1,1,1,0,0,1
1922,1,1,1,1,1,0,0,1
1923,1,1,1,1,1,0,0,1
1924,1,1,1,1,1,0,0,1
1925,1,1,1,1,1,0,0,1
1926,1,1,1,1,1,0,0,1
1927,1,1,1,1,1,0,0,1
1928,1,1,1,1,1,0,0,1
1930,1,1,1,1,1,0,0,1
1931,1,1,1,1,1,0,0,1
1932,1,1,1,1,1,0,0,1
1933,1,1,1,1,1,0,0,1
1934,1,1,1,1,1,0,0,1
1935,1,1,1,1,1,0,0,1
1936,1,1,1,1,1,0,0,1
1937,1,1,1,1,1,0,0,1
1938,1,1,1,1,1,0,0,1
1939,1,1,1,1,1,0,0,1
1981,1,1,1,0,1,0,0,1
1982,1,1,1,0,1,0,0,1
3001,1,1,1,0,0,0,0,0
3002,1,1,1,1,1,0,0,1
3003,1,1,1,0,0,0,0,0
3004,1,1,1,0,0,0,0,0
3005,1,1,0,0,0,0,0,0
3006,1,1,0,1,0,0,0,0
3007,1,1,1,0,0,0,0,0
3008,1,1,1,0,0,0,0,0
3009,1,1,1,1,0,0,0,0
3010,1,1,1,1,1,0,0,0
3011,1,1,1,0,0,0,0,0
3012,1,1,1,0,0,0,0,0
3014,1,1,1,0,1,0,0,1
3015,1,1,1,0,1,0,0,1
3016,1,1,1,1,0,0,0,1
3017,1,1,1,1,1,0,0,1
3018,1,1,1,1,1,0,0,0
3019,1,1,1,1,0,0,0,0
3020,1,1,1,1,0,0,0,1
3021,1,1,0,0,0,0,0,0
3022,1,1,1,1,1,0,0,0
3023,1,1,1,0,0,0,0,0
3024,1,1,1,0,0,0,0,0
3025,1,1,1,1,1,0,0,0
3026,1,0,1,0,1,0,0,0
3027,1,0,1,0,1,0,0,0
3028,1,0,1,0,1,0,0,0
3029,1,0,1,0,1,0,0,1
3030,1,1,1,1,1,0,0,1
3031,1,1,1,0,1,0,0,1
3032,1,1,1,0,1,0,0,1
3033,1,1,1,0,1,0,0,1
3034,1,1,1,0,1,0,0,1
3035,1,1,1,0,1,0,0,1
4302,1,1,1,0,0,0,0,0
4308,1,1,1,0,0,0,0,0
4309,1,1,1,0,0,0,0,0
4310,1,1,1,0,1,0,0,1
4311,1,1,0,0,0,0,0,0
4312,1,1,1,0,0,0,0,0
4313,1,1,1,0,1,0,0,1
4314,1,1,1,0,1,0,0,1
4315,1,1,1,0,1,0,0,1
4316,1,1,1,0,1,0,0,1
4317,1,1,1,0,1,0,0,1
